80.84.106.64 - - [06/Dec/2021:00:00:05 +0000] "GET /item/electronics/293 HTTP/1.1" 200 102 "/category/software" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.6; rv:9.0.1) Gecko/20100101 Firefox/9.0.1"
164.213.225.137 - - [06/Dec/2021:00:00:10 +0000] "GET /category/jewelry HTTP/1.1" 200 122 "-" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
96.171.174.149 - - [06/Dec/2021:00:00:15 +0000] "GET /category/health HTTP/1.1" 200 91 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.46 Safari/535.11"
156.120.90.81 - - [06/Dec/2021:00:00:20 +0000] "GET /category/games HTTP/1.1" 200 95 "-" "Mozilla/5.0 (iPad; CPU OS 5_0_1 like Mac OS X) AppleWebKit/534.46 (KHTML, like Gecko) Version/5.1 Mobile/9A405 Safari/7534.48.3"
36.78.155.66 - - [06/Dec/2021:00:00:25 +0000] "GET /category/networking?from=0 HTTP/1.1" 200 56 "/search/?c=Networking+Software" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
124.174.21.141 - - [06/Dec/2021:00:00:30 +0000] "GET /category/electronics HTTP/1.1" 200 41 "/category/toys" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
128.132.169.54 - - [06/Dec/2021:00:00:35 +0000] "GET /item/music/3612 HTTP/1.1" 200 129 "/category/electronics" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
44.72.182.53 - - [06/Dec/2021:00:00:40 +0000] "GET /item/music/2997 HTTP/1.1" 200 58 "-" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
112.174.123.136 - - [06/Dec/2021:00:00:45 +0000] "GET /category/electronics?from=0 HTTP/1.1" 200 126 "-" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
56.21.67.95 - - [06/Dec/2021:00:00:50 +0000] "GET /category/software HTTP/1.1" 200 101 "/category/networking" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
28.36.218.163 - - [06/Dec/2021:00:00:55 +0000] "GET /category/health HTTP/1.1" 200 94 "/search/?c=Games+Software" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
104.120.204.84 - - [06/Dec/2021:00:01:00 +0000] "GET /category/finance HTTP/1.1" 200 109 "/item/electronics/1458" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/16.0.912.77 Safari/535.7"
96.45.227.129 - - [06/Dec/2021:00:01:05 +0000] "GET /item/electronics/1316 HTTP/1.1" 200 105 "/search/?c=Electronics+Music" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0)"
160.171.70.201 - - [06/Dec/2021:00:01:10 +0000] "GET /category/cameras?from=0 HTTP/1.1" 200 114 "/category/cameras" "Mozilla/5.0 (Windows NT 6.0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
80.39.154.71 - - [06/Dec/2021:00:01:15 +0000] "GET /category/books HTTP/1.1" 200 76 "-" "Mozilla/5.0 (Windows NT 5.1) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.46 Safari/535.11"
100.63.39.32 - - [06/Dec/2021:00:01:20 +0000] "POST /search/?c=Jewelry HTTP/1.1" 200 51 "/item/electronics/4160" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
108.45.185.112 - - [06/Dec/2021:00:01:25 +0000] "GET /item/games/1049 HTTP/1.1" 200 68 "/item/games/1921" "Mozilla/5.0 (Windows NT 6.0; rv:10.0.1) Gecko/20100101 Firefox/10.0.1"
104.210.21.199 - - [06/Dec/2021:00:01:30 +0000] "POST /search/?c=Electronics HTTP/1.1" 200 135 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
28.213.88.54 - - [06/Dec/2021:00:01:35 +0000] "GET /category/giftcards HTTP/1.1" 200 72 "/item/books/512" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
52.207.94.210 - - [06/Dec/2021:00:01:40 +0000] "GET /category/jewelry HTTP/1.1" 200 85 "/item/software/1987" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; YTB730; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C)"
